iban,klant_id,saldo,title,type
MR90 8208 2982 1590 4322 4029 237,36,20504,Reinger LLC,particulier
LV32 MDON ZC1I MMLS CBAR R,54,23771,"Swaniawski, VonRueden and Homenick",particulier
ES56 0730 0999 0686 0030 4040,84,5639,Crona-Lakin,particulier
PS54 ECDI YSTC JVWM SJ6C XIKP POBU P,11,39398,Farrell-Cole,particulier
FI06 7669 0858 2331 05,50,5588,Gutmann-Dare,particulier
FR93 4308 2491 3157 9BYP HSSJ Q52,22,30587,Mitchell Group,particulier
GT91 O6EO CU27 RUOW 3IOD U2XO IV7J,105,34671,Jacobs Inc,particulier
FR83 8427 0845 46TB DP25 3CJ8 R21,71,44051,Schuster and Sons,particulier
MC93 3394 7337 73UW WLYO SFLZ L16,85,22326,"Walker, Thiel and Jakubowski",particulier
MU46 VVYH 3934 6587 7747 7306 453J FJ,8,45372,"Emmerich, Weimann and Funk",particulier
GB04 WRVG 1833 2957 5219 72,33,30840,Dickinson and Sons,particulier
FO21 7513 5874 0068 50,175,5913,"Yundt, Gottlieb and Kilback",particulier
LI79 9497 5LWL FBRE JMVL S,158,3111,"Murazik, Hintz and Rohan",particulier
IL21 7804 6730 6263 8261 502,118,16403,Bergstrom and Sons,particulier
FR38 0107 6537 89WN W3L5 DB9T Q97,55,45646,"Leffler, Eichmann and Hermann",particulier
RS83 3127 4954 4419 4819 90,168,19205,Fadel and Sons,particulier
HR54 3354 8782 1055 0756 5,27,21002,Wiza-Trantow,particulier
CY63 3171 0138 VD16 5LWV JHVI FEDS,198,21104,"Schuster, Herzog and Cole",particulier
PL30 9205 8473 2043 7533 5565 3404,132,47294,"Beier, Reichel and Hyatt",particulier
MR35 4033 7033 4533 4080 2628 604,91,41603,Hand-Yundt,particulier
KZ28 821W 8BKQ A5DQ JTHC,144,47090,Ullrich-Upton,particulier
ES59 4971 5150 4704 2151 2680,140,43750,Shields Inc,particulier
KW52 XDHH SRXE ZS3X LCSK XDUW ZNHA 1Z,154,47932,Green Inc,particulier
GT54 IVQC DL5S RHWU CHX4 3UIV ZGYW,81,33493,Mraz Inc,particulier
IS95 4120 7090 1355 2851 4485 98,191,20062,Smith-Nienow,particulier
ME78 4970 8276 3941 1829 39,21,878,Stoltenberg and Sons,particulier
GI24 OJDF O1UU PZMO IDF8 DJM,168,21998,Hyatt Inc,particulier
RS52 8829 2878 7355 6140 74,39,44342,"Lowe, Halvorson and Harris",particulier
EE16 6141 2368 6938 0431,167,42429,Jones-Bernhard,particulier
NL87 UMQI 3299 6926 74,166,42044,Feest and Sons,particulier
FR63 5809 7535 97U5 MCQO KNRD S68,5,47183,Christiansen and Sons,particulier
FR41 2262 5118 78DT BLEQ DSUJ I98,79,6857,"Wilderman, Walker and Brekke",particulier
FR26 9041 4710 09PD B305 GHTW A03,123,32126,"Runolfsdottir, Considine and Cormier",particulier
RS03 5597 8994 5105 4909 61,65,6799,Schaefer-Schulist,particulier
HR47 9661 1345 3935 2188 3,184,45084,Ryan-Gleichner,particulier
GI90 KWUA EPB3 ZHFZ BYQ8 7KF,92,49025,Von-Cole,particulier
BR93 6319 6452 9030 4878 9413 051Z B,20,30828,Haley Group,particulier
GT73 5RBL SBVJ 4KNX LNRL L5AU U9WV,71,18816,"Heaney, Rohan and Hagenes",particulier
DE97 0967 4747 3020 6364 88,199,11562,"Harris, MacGyver and Auer",particulier
RS41 7045 3277 8141 7079 18,118,5345,Bosco LLC,particulier
NL23 FANN 1616 7623 69,90,18915,"Cronin, Stehr and Gutkowski",particulier
BH45 AULM WODE R1VN XQSZ FB,176,24295,Kerluke and Sons,particulier
FR36 0954 6676 42G9 ADPE 0KQC R04,52,47763,"Gleason, Bernier and Goldner",particulier
AD03 1673 2810 CGIN WUSZ BFW1,184,40200,Johns-Hackett,particulier
FR57 8085 9838 57JM NQCX 5RPU M64,53,19108,Veum and Sons,particulier
FI03 5506 4120 2758 07,25,40483,"Hansen, Anderson and Bechtelar",particulier
TR51 9284 7BNP JNDN ZUE4 YRTI PB,41,24072,Funk and Sons,particulier
MT89 QUDM 6001 6OWD CP0Q DLMS NRWM VTK,154,12426,Boyer-Hand,particulier
AZ48 MMZJ RVDE J5PQ VSDH ETKX OITC,29,37435,"Stroman, Leffler and Tremblay",particulier
CZ45 1507 0910 7244 3359 3029,40,20405,Willms LLC,particulier
CR81 6406 2287 3970 2971 4,55,21460,Runolfsdottir-Eichmann,particulier
IT15 O859 3811 419F D8O8 VLVK MY6,21,31990,Zemlak Group,particulier
GE27 XZ27 1279 8192 1131 91,30,22679,"Howe, Kunze and Johns",particulier
BE11 1899 5131 6222,92,44862,Harber-Erdman,particulier
FR61 5559 2283 38AA DOFI GICC Z00,75,2351,Stoltenberg-Renner,particulier
NL31 EGIA 1541 6866 99,75,44353,Kunde Inc,particulier
GB49 YUAC 1238 7308 6037 88,74,30399,Smitham-Dach,particulier
FR57 5732 6711 8001 USVL 1XPX Q61,26,1601,Mills LLC,particulier
GB95 JNUS 4543 0751 7018 80,20,37373,"Hessel, Kshlerin and Hirthe",particulier
FR27 2199 6030 53YW J2KI XZJI H77,74,26299,Bernhard-Schmeler,particulier
LV72 KBIB JHPG PTRC KRJ1 W,86,44958,Reinger-Willms,particulier
FR86 0865 1441 70K2 DNHP ACYR A49,144,10685,Hintz-Kling,particulier
CZ26 5522 0312 1975 2998 0300,191,31127,Kunze and Sons,particulier
AT37 8445 9828 9706 4165,159,19344,Mosciski Inc,particulier
SK12 4009 6704 5951 7617 5996,40,43748,Beatty Inc,particulier
CY35 0184 1584 RK4D DHHB IJLU JEWL,134,20283,"Schmeler, Denesik and O'Hara",particulier
MD77 NMAW HQQQ CTJV VOMM ZS8B,12,401,Yundt-Roob,particulier
MK83 271V IIEQ 41IN X41,141,21328,"Reichel, Funk and Howe",particulier
LI66 4453 0KAZ TCEY OE4C X,62,29666,"Fay, Renner and Kozey",particulier
IT96 P275 4103 066B TCEB XPSD 3L9,32,22869,Kub and Sons,particulier
PK70 FHAR IBEM TAPW Q6TN MLKF,124,36343,O'Connell LLC,particulier
ES60 9954 8638 6843 8614 6272,148,22430,Kiehn-Donnelly,particulier
KW22 IBQK JQG9 OD2D UM9A JPFW 8QVE 4M,92,6373,"Klein, Hodkiewicz and Kunze",particulier
IL17 1317 2144 7541 6302 029,65,16247,Bechtelar Group,particulier
AL67 6837 1205 7HBA 5GCQ 7W7P HIYF,74,26003,Schowalter-Pfannerstill,particulier
GT21 8QVF XF5S UHNL KCAH SSLF VAMK,152,21037,"Bruen, Marvin and Schuppe",particulier
FR48 8929 9338 06HL UKAW C5GT N66,123,20384,Jerde-O'Reilly,particulier
MU05 DKGG 0099 1863 2592 6463 469M FF,34,2266,Keebler-Swift,particulier
GT32 DCSA EIMG MWDA 8NJK ZB1A F78B,142,46188,"Mann, Ward and Dare",particulier
MK25 6378 AFKD XXDT 949,117,30277,Kling LLC,particulier
EE95 4547 6588 2202 4068,2,22890,"Boyer, Barrows and Bernhard",particulier
PT54 6187 9852 6409 8975 1767 5,146,45727,Wiegand-Green,particulier
VG93 LPFD 1662 8163 4008 5126,46,27998,Stark Group,particulier
SK29 5737 7981 8693 5483 0505,82,34399,"Cartwright, Johnson and Anderson",particulier
RS79 7606 9020 6654 1786 11,101,37307,Littel Group,particulier
ME56 6572 8409 5709 3183 95,107,40497,Kshlerin-Bogan,particulier
CZ32 4190 0192 6671 6948 7015,60,26176,Towne Inc,particulier
LI33 5980 632T EMLP FX77 X,163,30085,Lebsack-Swift,particulier
HR75 3433 4522 5230 0119 9,193,25981,"Zemlak, Okuneva and Stamm",particulier
MT85 JUSC 0598 76VH QMSK GO2M UIFK RHQ,148,48888,"Kemmer, Monahan and Cartwright",particulier
FR87 7081 2645 42VW SDGJ 7TK6 R36,134,46559,Schiller-McCullough,particulier
IL45 9069 3288 5625 7124 176,199,31563,Tromp-Durgan,particulier
MR74 2554 1332 6449 5819 9652 130,75,41551,"Shanahan, Von and Wuckert",particulier
GT76 LJFZ UVJX ZVMI AZO6 ZOT1 JLWI,168,35554,Farrell-Gutmann,particulier
CR60 8837 8702 3869 9054 5,193,28728,Kling Group,particulier
MU02 HKXV 7622 5511 7752 0605 237N SU,99,16119,Yundt LLC,particulier
GB32 LXZY 1069 4984 9700 06,140,22883,Stoltenberg-Senger,particulier
IL17 7081 8309 2139 0701 025,99,15774,Vandervort-Herzog,particulier
CY06 1531 3063 MTYJ QCEI VRVF CJPA,199,13360,"Reilly, Kunde and Boyer",particulier
GT70 Y3GZ NUOS SWFB XOMA B6JA 16C1,120,33447,Denesik Inc,particulier
MC98 0331 7011 931H R4IN 85CJ 005,145,11693,Haley LLC,particulier
TN82 3169 8692 7897 9111 1942,173,38931,"Maggio, Walsh and Kuhn",particulier
SI15 9531 5330 5123 564,32,11039,Lakin and Sons,particulier
LB14 4481 MF5M MYXY TW5Q CLKE KTHY,3,40037,Robel-Medhurst,particulier
ES70 8989 0975 9898 7509 0102,153,29737,Zieme LLC,particulier
SE45 5881 0310 1093 1689 9804,196,36419,Rath-Kirlin,particulier
RS96 9739 8650 7639 1727 06,27,27992,"Aufderhar, Maggio and Jerde",particulier
MT80 NFLV 8047 5MZH FVIK 4ZP6 BH22 MMA,151,35055,Kreiger-Champlin,particulier
FR93 0661 2100 47OF 8X7V WC26 X78,42,13972,"Hyatt, Feil and Schuster",particulier
MR21 3843 0968 6500 2996 6580 237,65,5181,"Hartmann, Douglas and Huels",particulier
FR61 5674 6687 21BW LHEX UAYI R21,39,43454,Gaylord and Sons,particulier
ME85 5643 1571 0637 3561 53,114,3370,"Hessel, Moore and Schiller",particulier
NL47 ZJEX 4231 7939 47,116,42496,"Will, Kohler and Klein",particulier
TN44 4779 3437 3702 4235 0506,64,17401,Yost LLC,particulier
FR92 3731 7339 68DB ITCV YHXI G61,157,16250,Cartwright-Kuvalis,particulier
EE42 9430 2960 1971 0365,52,48487,Brakus Inc,particulier
ME74 9491 8830 5520 8444 92,119,13689,"Schroeder, Davis and Abshire",particulier
NO79 4842 2696 020,9,19727,"Kirlin, Schroeder and Orn",particulier
SA06 17PR CKXJ Q8YL TYCW AGV1,24,7852,Kunde LLC,particulier
FR70 3132 6384 15VR XAGW UG9N L11,55,36989,Beer-Bednar,particulier
FR96 2143 0287 84FK 4JDJ UEU0 X73,19,19972,Stark and Sons,particulier
BG02 MIDD 7610 699U 6KTM LJ,179,14221,Kshlerin-Connelly,particulier
FR22 9814 7737 748Q NE1J 9RJ9 R66,46,17227,Torp-Stracke,particulier
DK71 4715 7246 4181 12,53,38566,Haag-Ryan,particulier
EE64 0026 2480 3896 6918,60,33293,"Bernhard, Bayer and Wisozk",particulier
LT98 8898 5009 4339 5318,146,47769,"Veum, Lang and Hyatt",particulier
MU23 NPJG 1914 7346 1600 5885 738X KY,115,23265,Christiansen-Littel,particulier
LB55 3786 G5BK HHUI 54KC UXRY AY1X,125,14616,Sipes Inc,particulier
GR50 9300 348R D2I2 DB4H 8Y5H 488,59,39632,"Rutherford, Bednar and Kris",particulier
DK96 4333 0370 4447 16,122,40104,Effertz LLC,particulier
MK51 312Q LFLI 8JAH V64,186,13945,"Towne, Waters and Miller",particulier
AE94 1123 2061 7513 6516 126,53,27181,Runolfsson Group,particulier
FR40 1586 1962 48Q9 FO3Z ESOQ S44,100,40454,Simonis-Ullrich,particulier
MU23 JQFQ 3927 5980 2641 9897 896G RG,144,492,Waelchi and Sons,particulier
DE31 8490 4287 0140 0873 48,103,31051,Murray Inc,particulier
KZ43 296I YIHC WADF UIBD,15,36530,"Borer, Murazik and Mertz",particulier
ES26 9368 2796 2278 5278 1203,72,47745,Mann-Schimmel,particulier
AE45 3930 8469 1175 8605 838,60,7838,Ondricka-Howell,particulier
CR06 3061 7010 1584 3868 8,112,6206,Kohler and Sons,particulier
DK31 1869 7511 6759 70,3,3182,"Weissnat, Connelly and Sanford",particulier
DK45 6063 0142 0324 67,59,35403,Hagenes Group,particulier
RO48 HNCS ZM8P 3ZHL HQHV DYZA,99,39089,"Reichel, Olson and Ullrich",particulier
FR03 7257 4384 895Z 258R 07WO R84,160,25964,Lubowitz-Rath,particulier
FR51 4774 4180 60BY DW15 QFU8 H79,197,30078,Feest Group,particulier
TN31 2313 2199 0436 9904 3615,129,15487,Beatty-Lynch,particulier
PT62 1487 8807 0207 8391 8868 9,33,3288,Boehm Inc,particulier
KW08 EMEJ PYLH S2D8 7VRL 4E9Z OTPR UR,163,33307,"Bashirian, Witting and Braun",particulier
SE77 7214 5147 4060 0938 8332,70,48813,Hand-Kutch,particulier
IE25 QSLX 1990 6728 8057 77,181,29413,"Padberg, Kautzer and Lubowitz",particulier
ME46 3305 5355 5534 4812 94,127,4345,"Nikolaus, Shields and Bruen",particulier
RO48 LQTD YGE2 ICBC IXC1 T2ZW,20,35922,Luettgen Group,particulier
BE80 1265 5285 4120,128,46685,Kulas Group,particulier
GE80 SZ21 6985 8915 0180 70,10,36988,Mitchell-Lesch,particulier
KZ62 9555 6IJJ QI6M GKLS,195,11082,"Ziemann, Zulauf and Heathcote",particulier
FR66 7060 4679 26TF 5M95 1GXQ P02,80,22160,Hyatt Group,particulier
ME28 6103 7770 1814 2416 12,142,47076,Morar Inc,particulier
AT32 5642 7269 5348 3197,51,17590,"Johns, Mosciski and Bergstrom",particulier
GR08 9455 103U UFXA FDVF RCI2 LYB,90,49982,Homenick LLC,particulier
BA06 3510 9741 9037 6706,200,35576,Orn-Mante,particulier
CY78 1289 5782 TLOS R3HF SVZM RZK9,159,29525,Wilkinson-Gibson,particulier
GI50 TOOF 5CPO Y4PN OZRQ 3QR,132,45897,Mueller-Reilly,particulier
PT39 5372 9512 2313 3849 5942 7,144,4896,Stanton Inc,particulier
BR13 2650 2661 9624 9385 2448 932P X,52,20612,"Gorczany, Lebsack and Hilpert",particulier
EE68 4321 3188 8932 6226,95,8108,Blick LLC,particulier
EE32 7708 5352 2224 7986,78,4183,"Kuhn, Bernhard and Lowe",particulier
VG60 PNPI 8329 8738 6617 4874,187,17775,"Treutel, Bernhard and Paucek",particulier
FR61 4138 7400 29AP UBOL UG33 535,108,27770,"Stokes, Anderson and Wisozk",particulier
CY85 7859 8954 ROBF XKFS R39O ZAPR,4,9144,Goyette-White,particulier
MK93 165X VTUR SL4G R18,176,34349,Howe Group,particulier
FR62 1345 2162 895K DAYP 7YCA P09,33,17010,Kautzer Group,particulier
FR51 1941 6347 77HT U96X 1TGM L04,120,26281,Flatley and Sons,particulier
FR28 6819 6194 402U KOD3 RGC5 408,161,15581,"Torphy, Connelly and King",particulier
MT35 YCAU 6665 5KDO 7PEF QPGR NVHS JRY,186,44389,Trantow LLC,particulier
FR70 8132 0665 18AB FLDG ZTGR I86,191,8640,Ullrich-Stehr,particulier
AD83 6425 8725 BOPV NY6N IKCR,153,36635,"Gottlieb, Macejkovic and Fadel",particulier
