iban,klant_id,saldo,title,type
FI68 9914 1775 2946 20,4478,14293,Kris and Sons,zakelijk
FI03 1593 9680 5563 35,4380,47792,"Dach, Stokes and Deckow",zakelijk
IL54 1873 8037 2658 0955 708,4265,589239,"Hirthe, Lynch and Gusikowski",zakelijk
AT97 8210 7650 0947 4886,4024,893481,Hettinger Group,zakelijk
FR33 5607 1180 97YA 5I9G 6YJJ V88,4376,875255,Dicki-Boehm,zakelijk
PT14 2357 0365 3090 2054 0979 9,4106,849752,"Daniel, Bergnaum and Heathcote",zakelijk
BH16 HVVB BSXJ W30B Q70C N9,4478,402849,"Jones, Lowe and Heaney",zakelijk
FR42 0127 3164 60KU NWG0 ERQT U53,4408,154332,O'Reilly-Huels,zakelijk
NO32 8503 8032 214,4366,720219,Ritchie LLC,zakelijk
CY84 4841 5586 PYLO XNJS JEQI PGAS,4492,764710,Wunsch Inc,zakelijk
PK43 VTXT FKR0 LGCO BWJW HSFA,4120,159699,Friesen-Schuster,zakelijk
FO31 9352 7104 3670 88,4010,429974,Herman LLC,zakelijk
DK41 2081 2264 9211 43,4092,627297,Halvorson and Sons,zakelijk
TR34 8312 6SFN CJCS SSS9 NGA3 IW,4191,246624,Padberg-Schaefer,zakelijk
LI80 6188 0JHK X3HL 05PD O,4141,723594,Osinski-Schneider,zakelijk
FR30 1059 5724 1211 MGOA LSBI I10,4216,38106,Smitham Group,zakelijk
LB33 9121 FLNX HBJY JQSY C8Q9 0KIP,4332,132214,Boehm and Sons,zakelijk
CR33 8784 5037 8427 5085 0,4394,833200,Renner and Sons,zakelijk
LT57 6303 9463 1553 0896,4087,797864,Muller Group,zakelijk
FR40 0453 7524 092A NSBG 2LX6 J11,4399,116220,Kerluke-Bednar,zakelijk
SM27 W822 5532 277G O1CO MLAH DSV,4306,711357,Huels-Dicki,zakelijk
RO16 FLCN PVUZ MV6N 7NPB HVWX,4005,617810,Brekke and Sons,zakelijk
TR76 5479 9QF5 VGUS CDIA LGTE E3,4327,337883,Crist-Wilderman,zakelijk
DO54 AZQE 5346 7084 6606 9933 6310,4471,953690,"Rice, McClure and Dickens",zakelijk
RO89 CEHT TIGC FQH9 F36X 1PHT,4108,176132,Botsford Group,zakelijk
GB60 HFPH 4338 1860 0065 27,4065,635372,"Wunsch, Gottlieb and McCullough",zakelijk
BG64 GJYA 0057 79CX FUYF IY,4257,378680,Wolf-Harvey,zakelijk
TN57 9228 0813 5279 1090 2776,4169,968218,"Baumbach, Swift and Rohan",zakelijk
SI51 3083 8887 3676 010,4327,124717,"Runte, Swift and Kerluke",zakelijk
MU03 POKE 7388 8890 6014 8870 067D KK,4468,331230,Abbott-Crooks,zakelijk
SA48 27PK XNL1 UZZU VINN AKSE,4317,219688,Kovacek-Senger,zakelijk
HR45 1805 4983 3619 7729 3,4135,815432,Halvorson and Sons,zakelijk
FR48 8113 4788 83EI QQ62 8LJV X64,4401,417921,"Monahan, Russel and Schiller",zakelijk
KW94 RAWW 8PEB AKLF DSWI GSRD XL5A KV,4134,714936,"Heathcote, Leffler and Wisozk",zakelijk
FR57 6586 4346 36H2 NJC0 CZXG H21,4315,657414,Thiel-Lynch,zakelijk
MR39 2280 1470 9674 9314 4920 364,4337,510844,Mraz Group,zakelijk
FR40 6429 2749 27QZ AJ3Y PXZD V27,4339,106769,Toy LLC,zakelijk
GI51 BHDY 5J0D KDJT 3KZS JSL,4092,595294,Schinner LLC,zakelijk
FR18 3960 3842 26ZS 6TRT RTEJ L33,4361,753960,Marvin-Osinski,zakelijk
PT55 7372 3564 3568 0059 4215 3,4495,993322,"Mraz, Kuphal and Klein",zakelijk
AD93 4200 7211 SQFO 3YDV LRPM,4299,425558,Monahan-Smitham,zakelijk
GI55 AIWR YCHN IOPM N7EC UJ2,4496,187817,Pagac-Stanton,zakelijk
RO69 MMQS FSBA IMOL GYV7 6IPF,4103,671129,Bednar-MacGyver,zakelijk
PK59 QONL RWEX BK9J 8MP6 XINQ,4428,839180,"Schiller, Schultz and Dare",zakelijk
AT69 1816 4545 1370 1943,4481,133450,Dicki-Hettinger,zakelijk
FR94 8763 4748 47W8 FS6O HVMP C47,4217,432586,"Zboncak, Metz and Friesen",zakelijk
SI58 9489 3966 5380 991,4099,247255,Mueller-Hammes,zakelijk
CZ32 6276 0490 2951 5279 1711,4274,311566,Durgan and Sons,zakelijk
IL15 1374 4397 1037 6389 204,4421,869572,Price Inc,zakelijk
IT46 D199 4543 587K 5PUI VA3C ZQW,4163,604017,Borer-Schulist,zakelijk
FI48 9789 9834 8518 49,4207,526710,"Heller, Prohaska and Terry",zakelijk
AL58 2971 5852 N1SG NK60 NMRB 8LBX,4324,401414,"Barton, Strosin and Ferry",zakelijk
EE04 0936 2102 8910 3474,4070,208163,Christiansen LLC,zakelijk
PK23 AISI RHFU WRAN VRYH F8KU,4467,446593,"Beahan, Lakin and Gleichner",zakelijk
PK27 YXAZ WBPV SJGQ KA2J A2C0,4409,193223,Gulgowski-Macejkovic,zakelijk
SK98 6477 9798 7523 1345 3275,4080,816876,"Armstrong, Green and Harvey",zakelijk
ES92 9491 8373 8202 5950 0252,4184,8362,Erdman-Hoeger,zakelijk
FO20 5588 9316 2124 44,4280,671142,Collier-Halvorson,zakelijk
ME27 8719 0483 8152 7834 25,4369,63579,"Moore, Krajcik and Lebsack",zakelijk
CR15 5615 1545 0019 8573 4,4098,51252,"Miller, Spinka and Sporer",zakelijk
MC89 7296 7898 658I 3PS0 6G3N U82,4429,387502,Simonis Group,zakelijk
AT34 6391 1746 2683 8416,4031,12502,"Von, Wilkinson and Bernier",zakelijk
LB08 1356 MGPW PF32 XBEG IJS0 9SGZ,4060,912102,Schuster-Pacocha,zakelijk
FI27 0444 5321 2679 83,4061,13610,"Funk, Schaden and Smitham",zakelijk
AE85 8986 6045 0001 3582 576,4383,604105,Bins-O'Conner,zakelijk
AZ19 GKZM YGWS D3R2 ATK5 X1C8 229I,4429,1276,Cronin-Gibson,zakelijk
CY13 8438 8622 Z1S2 KC7Z SBYI 84UE,4471,466483,Cummerata and Sons,zakelijk
IS27 9177 5298 1166 7762 5413 61,4388,500601,"Connelly, Wintheiser and Homenick",zakelijk
BE07 0601 9340 9046,4400,844033,"O'Keefe, Farrell and Zemlak",zakelijk
BR76 0193 7119 6407 7729 8685 455L Q,4125,494335,Bosco-Jacobson,zakelijk
AZ67 TNBH WLX6 L04W OU5C TXHI 1AKU,4192,492535,Welch Inc,zakelijk
AT77 8394 6483 0787 0542,4118,469477,"Kunze, Keeling and Lind",zakelijk
FO04 4511 2595 3901 30,4359,350546,"Mosciski, Smitham and Dach",zakelijk
NO66 9830 9696 344,4252,619532,Witting-Medhurst,zakelijk
BA78 5281 4917 0741 2610,4470,903570,Heaney-Howe,zakelijk
FR57 9478 2228 33IK 8EOJ KBJV B16,4276,724834,"Harber, Buckridge and Oberbrunner",zakelijk
DK29 7812 8549 7332 30,4483,12755,"Baumbach, Veum and Fisher",zakelijk
PT90 5165 1716 3274 7400 6026 2,4246,675713,Littel LLC,zakelijk
GL94 2059 5145 6702 80,4136,180626,"Ratke, Swaniawski and Harris",zakelijk
FR28 1189 9139 24IR XWHH UVL5 K14,4046,321105,Gutmann-West,zakelijk
SM67 G586 2805 481Q FKMY OXN6 821,4292,31479,Klocko Inc,zakelijk
IS21 8745 6790 8384 0694 4414 94,4103,58508,Hilpert-Parker,zakelijk
FR02 4550 0295 90OR TRG4 ZYKP D97,4126,881771,Welch Group,zakelijk
EE13 1767 4349 1360 8434,4296,871623,"Kuvalis, Reinger and Weber",zakelijk
BG69 JKUT 3392 01AG UPKE WX,4093,173267,Kerluke-O'Connell,zakelijk
ME86 6125 3699 5864 4082 95,4303,87711,Conn LLC,zakelijk
FR75 3982 4188 59CD 2MXO 5M9J P69,4380,284256,Quitzon-O'Reilly,zakelijk
FR68 4308 2510 839C FX8O OD04 L06,4119,604405,Bartell-Paucek,zakelijk
CZ02 8089 2612 7896 3568 2133,4006,956738,Homenick Group,zakelijk
MU64 ABWT 6520 4396 5204 6260 669T XJ,4417,221371,Romaguera-D'Amore,zakelijk
FR42 1106 2530 63TS TMXR LM7Q V03,4267,613447,Emard and Sons,zakelijk
PL36 0308 4216 3448 4983 3936 5522,4037,129934,"Schumm, Kulas and Douglas",zakelijk
MT70 QYDM 6799 3BKH DZ2B WVJG RE3P TLM,4449,927302,Wilderman LLC,zakelijk
BA74 2560 6340 9750 7669,4286,377104,Kerluke-Champlin,zakelijk
PT09 2151 1834 4753 9115 0573 6,4194,283367,Ullrich Group,zakelijk
HR12 2013 6160 2854 1988 8,4346,892041,Wunsch-Schneider,zakelijk
LU49 251L 4VO6 FKBT NUAS,4346,974910,Toy-Senger,zakelijk
FR92 5454 4448 92CE 9WLJ ENUQ H90,4294,550047,Graham-Tremblay,zakelijk
CR86 5987 3057 2954 2754 6,4448,201862,"Cassin, Mann and Kovacek",zakelijk
IT80 I915 1522 114G 94G4 LMVF H4F,4099,210542,Gutmann Group,zakelijk
FO38 8110 5010 2735 77,4331,808219,"Gleason, Boyle and Reinger",zakelijk
CH61 5739 35UY XOG4 JYDE U,4069,37749,Welch-Will,zakelijk
ME88 6996 2135 6098 1769 16,4256,13840,"Muller, Lindgren and Koepp",zakelijk
PT47 1954 9937 4667 6039 1342 3,4163,893010,Kling Inc,zakelijk
PL37 7992 2492 1018 5640 0437 2859,4496,758765,"Schamberger, Mills and Casper",zakelijk
MC27 1767 3854 99IE 6KJU ASNH S93,4147,523323,Fadel-Leannon,zakelijk
IL16 2898 9899 2116 0984 926,4306,728267,Morissette-Langosh,zakelijk
FR65 7446 5516 84PA UBLU H5W3 C86,4260,259726,"Mueller, Borer and Nicolas",zakelijk
GL66 3259 9093 4867 64,4190,11568,Hansen Inc,zakelijk
TN97 5794 0945 5049 8106 4964,4156,941787,"Kessler, Green and Wolff",zakelijk
ME03 5451 2906 7908 1645 64,4349,446563,Denesik-Anderson,zakelijk
IL76 4688 0528 6296 0222 161,4255,984957,"Pfannerstill, Brekke and Predovic",zakelijk
AT13 5888 0660 3178 9785,4034,522971,Barrows-Huel,zakelijk
AL71 4339 4243 PEIH D9CN URLL UPWY,4469,289335,Jakubowski Inc,zakelijk
AZ10 NTEY HNB7 OCBX IYYX 4UIM YHF1,4306,604313,Stamm-Sawayn,zakelijk
HU83 1522 7302 9773 9058 9195 9345,4381,926447,"Littel, Conroy and Hahn",zakelijk
FR24 9061 1128 34KO VRRW JTBI M41,4077,952123,"McClure, Sawayn and Hauck",zakelijk
LB74 7954 FVZY O3HZ O4QH 90VZ GZWZ,4259,596845,"Upton, Runte and Wilkinson",zakelijk
CZ69 4720 6141 1295 1778 6123,4307,747993,"West, Predovic and Lockman",zakelijk
PK21 OQZH FZYW KVQI IYZZ 7RXO,4104,342363,Kassulke LLC,zakelijk
FR66 9135 8831 457H OZFC CWTP P62,4494,439797,Hoppe Group,zakelijk
AL81 4421 9188 DFVE NSFI EUDU W9NR,4350,928085,Klein-Dibbert,zakelijk
SM61 Q922 5086 2996 3FDR IXIH 9NV,4278,149062,Gutkowski-Wiegand,zakelijk
AL10 6508 2904 RXSS HFP7 FHWR P7FP,4130,799003,"Goodwin, Ryan and Bosco",zakelijk
BR79 5212 3279 3696 2499 2316 969A J,4319,631989,"Goodwin, Kautzer and Braun",zakelijk
GL83 5718 8455 8776 02,4188,376998,Sanford-Beer,zakelijk
AD24 5101 8307 ATLW BRPV E6F4,4214,86725,Champlin Inc,zakelijk
PK63 LHTY KQVZ NHJR YR3M FGOT,4123,378679,Senger LLC,zakelijk
FO23 4733 0219 3587 69,4234,672004,"Volkman, McLaughlin and Will",zakelijk
MC36 4147 8589 73KB MI9H YIAS 779,4053,299670,Nicolas-West,zakelijk
CR73 7582 2802 8458 9499 4,4267,522597,Thompson-Schmitt,zakelijk
MK94 020C 5GUX YOAG Y48,4344,715906,Harris-Wilkinson,zakelijk
MK58 180J 2CHG U2SQ 993,4213,880944,Botsford LLC,zakelijk
DO17 XWSQ 1399 2711 5656 1148 6372,4461,823443,Lesch-Braun,zakelijk
FR31 1993 2795 532L COAH SZYQ U69,4170,471144,Blick-Thiel,zakelijk
AZ28 HBNQ 7PVD UGCB Q4WR JHGK ONGD,4351,47278,Upton Group,zakelijk
GB21 ZKRN 7135 6459 2598 42,4459,459786,Brekke-Doyle,zakelijk
FR96 8310 7539 76CR NRJI 3ROY N90,4202,277485,"VonRueden, Bahringer and Rice",zakelijk
FR98 5293 0851 426Q 78P7 OWMU Q92,4163,318536,"Predovic, Brekke and Swaniawski",zakelijk
CH42 3719 5OGZ P5I1 WBRZ J,4187,768433,Koch-Hoeger,zakelijk
BE62 0771 4802 9229,4206,650023,Prohaska-Kihn,zakelijk
ES94 0645 8391 2458 4060 5722,4350,608102,Gislason-Schamberger,zakelijk
AZ14 SEID HRTI N7SO WM7B H35P F3GJ,4214,41360,"Muller, Prohaska and Block",zakelijk
CZ38 8347 8843 2394 5715 4151,4061,370578,Gulgowski-Purdy,zakelijk
MR86 0418 8819 7454 3425 7450 878,4020,38307,Luettgen-Klein,zakelijk
FR79 3018 2684 808Q DFJ7 IFBZ E29,4165,698120,Dooley Group,zakelijk
SM79 C100 0363 5047 GOHG N066 ZKG,4036,697575,"Schoen, Rice and Walsh",zakelijk
BR08 6214 6273 1537 3617 8928 416T W,4399,641534,Lakin Group,zakelijk
RS33 6996 4511 9414 2301 50,4000,337175,Kulas and Sons,zakelijk
MU51 LWUW 0834 8476 8826 2513 744I JC,4324,22429,"Kemmer, Maggio and Reilly",zakelijk
AE40 8268 4615 3781 1572 688,4334,956740,Hyatt and Sons,zakelijk
AL02 6496 2466 IN9I QGRW F7HZ 1ZVS,4111,188880,Koch-Cole,zakelijk
ME67 5746 0159 1427 5967 56,4151,865575,Jones LLC,zakelijk
ES13 2426 3326 6998 7385 4155,4013,36692,"Halvorson, Goyette and Cremin",zakelijk
FO48 8243 6256 3282 98,4208,498305,Schiller Group,zakelijk
FR93 3957 8772 54QC EA3N DPZQ P89,4291,162312,"Bednar, Kunze and Mante",zakelijk
AT31 7599 9434 0852 3555,4198,253163,Koch Group,zakelijk
FR26 8840 1280 505J FCNU NG6T Z67,4241,660938,Macejkovic-Dare,zakelijk
BE95 3571 8618 4444,4441,585857,Nicolas and Sons,zakelijk
LU31 813K FNU1 3KHZ KJ3R,4133,398301,"Gorczany, Bartell and Beer",zakelijk
FI90 3199 1747 8965 85,4238,686105,Bauch LLC,zakelijk
FR84 5428 4826 63RI CXJI KSIM I60,4467,240866,Johnson Inc,zakelijk
IL24 7443 5236 0259 4749 820,4384,371367,"Schroeder, Leannon and Hickle",zakelijk
MR74 2931 1186 2007 7880 2067 780,4427,460261,Terry-Turcotte,zakelijk
GB25 MXGE 0051 5520 0622 48,4294,230547,"Harber, Harber and Mante",zakelijk
KZ27 539B 00E0 IYVK E4GL,4401,84636,"Feeney, Stoltenberg and Stroman",zakelijk
FR23 2721 3906 31DO UWPH BPSO W89,4333,130264,"Lesch, Sawayn and Lind",zakelijk
PT19 2572 3725 5027 9088 2880 3,4273,486149,Kunde-Metz,zakelijk
VG66 PTAN 6286 0735 3923 2634,4306,660968,"Raynor, Trantow and Franecki",zakelijk
FR50 7147 7714 56GX MTWN LMP9 O59,4193,656460,"Smith, Herzog and Robel",zakelijk
FR39 3810 5027 43KV 68B0 GC2W M05,4036,804286,"Wunsch, Quitzon and Mosciski",zakelijk
SA85 35U5 OYBB XQKS 0YV2 MFNK,4327,598661,"Kessler, Wilkinson and Pollich",zakelijk
LB07 5366 RX4M ZPHU QXR7 H1JW OUJG,4185,916168,"Medhurst, Gleason and Gerhold",zakelijk
RS31 9231 5231 2553 7789 02,4256,140098,Bauch and Sons,zakelijk
FR06 6347 3365 33OX K8ED MGUA 928,4000,212716,Hintz-Roob,zakelijk
PL87 4173 0914 5119 2400 6216 1878,4003,484851,"Auer, Kulas and Zieme",zakelijk
NL98 ZEHB 7374 8486 53,4153,944486,McClure and Sons,zakelijk
FR79 3932 7426 99SQ 44YD PT11 R15,4067,984992,Konopelski-Legros,zakelijk
TN07 9145 8111 5058 6494 4776,4379,113499,"Donnelly, Schmitt and Koepp",zakelijk
BH81 JETT 8CR1 BXE8 MG52 DG,4445,421476,"Hahn, Murphy and Donnelly",zakelijk
PT39 1470 3202 0400 0147 6580 7,4272,174457,"King, Stanton and Goodwin",zakelijk
NO84 6817 0482 640,4380,992181,Metz Group,zakelijk
BE79 3650 6725 5282,4261,126338,Crist Inc,zakelijk
IS32 5442 9631 2443 5075 8268 67,4368,894894,O'Keefe LLC,zakelijk
FR21 0487 2269 35UI SR2K S4LX H21,4064,41244,Lehner Group,zakelijk
DE70 3362 9959 9875 6041 33,4471,869637,Labadie Inc,zakelijk
GE63 LY23 2495 6233 9846 56,4334,533289,"Nolan, Keeling and Beer",zakelijk
GE30 ZZ43 2873 4928 4841 37,4346,901405,Schoen LLC,zakelijk
FR36 2787 2524 17SV SQYL QC0J B27,4418,916947,"Reichel, Green and Cummings",zakelijk
ES48 3343 7619 9032 4668 9014,4345,107283,Pagac-Boyle,zakelijk
FR87 6066 2989 92YA LFZX SYYP N68,4279,246846,Nicolas-Lubowitz,zakelijk
CZ77 6047 0594 9522 0232 1087,4491,819349,Schiller-Wyman,zakelijk
MK71 269I EYOG MXFS T95,4492,225735,Haley-Ryan,zakelijk
FR12 3537 1104 15LF 71ID EOUK 401,4278,323358,Jenkins and Sons,zakelijk
PK12 BCZC 5W7O YYRW DAKK JTV7,4326,641181,Bode Group,zakelijk
